mode,overall,alpha,lam,lr,best_auc,test_loss,test_acc,test_auc
Unweighted cosine,True,1.000000,300,0.001000,0.835492,0.498728,0.766400,0.846200
Weighted cosine,True,1.000000,300,0.001000,0.837547,0.498112,0.760200,0.847546
Unweighted cosine,True,1.000000,1000,0.001000,0.838725,0.491506,0.761200,0.847470
Weighted cosine,True,1.000000,1000,0.001000,0.838011,0.524995,0.759200,0.844120
Unweighted cosine,True,1.000000,3000,0.001000,0.840674,0.499191,0.759000,0.850272
Weighted cosine,True,1.000000,3000,0.001000,0.836921,0.503024,0.756700,0.845560
Unweighted cosine,True,1.000000,10000,0.001000,0.843194,0.498062,0.761000,0.847791
Weighted cosine,True,1.000000,10000,0.001000,0.834045,0.501620,0.756500,0.844377
Unweighted cosine,True,1.000000,30000,0.001000,0.839060,0.514622,0.754300,0.844227
Weighted cosine,True,1.000000,30000,0.001000,0.842235,0.483825,0.764900,0.849510
