lam,final_lam,beta,lr,log,best_auc,test_loss,test_acc,test_auc
30000.000000,29994.152344,10000.000000,0.001000,False,0.836151,0.585174,0.717200,0.840623
300.000000,54.688526,100000.000000,0.001000,False,0.836670,0.488067,0.767500,0.846441
1000.000000,936.329529,100000.000000,0.001000,False,0.836360,0.499791,0.758600,0.844263
3000.000000,2922.374756,100000.000000,0.001000,False,0.839701,0.492782,0.758600,0.843221
10000.000000,9925.109375,100000.000000,0.001000,False,0.836425,0.487392,0.768500,0.847039
30000.000000,29936.369141,100000.000000,0.001000,False,0.833559,0.503427,0.758100,0.841956
300.000000,299.487701,100.000000,0.001000,False,0.839725,0.502101,0.760500,0.847873
1000.000000,999.817505,100.000000,0.001000,False,0.838483,0.502440,0.760900,0.848409
3000.000000,2999.898438,100.000000,0.001000,False,0.842551,0.488666,0.767400,0.854697
10000.000000,9999.958008,100.000000,0.001000,False,0.839543,0.525697,0.746000,0.847667
30000.000000,30000.000000,100.000000,0.001000,False,0.836323,0.526900,0.746100,0.842502
300.000000,295.287842,1000.000000,0.001000,False,0.839820,0.498345,0.761000,0.849060
1000.000000,998.234375,1000.000000,0.001000,False,0.841675,0.485110,0.768700,0.850753
3000.000000,2998.927490,1000.000000,0.001000,False,0.840824,0.500788,0.757800,0.849790
10000.000000,9999.076172,1000.000000,0.001000,False,0.838087,0.502488,0.762900,0.848935
30000.000000,29999.166016,1000.000000,0.001000,False,0.835996,0.496054,0.759000,0.845122
300.000000,242.393280,10000.000000,0.001000,False,0.840173,0.497595,0.762100,0.850200
1000.000000,978.673279,10000.000000,0.001000,False,0.842739,0.491719,0.765400,0.852909
3000.000000,2998.777832,10000.000000,0.001000,False,0.841798,0.487124,0.765300,0.849493
10000.000000,9992.773438,10000.000000,0.001000,False,0.839775,0.498657,0.765200,0.847812
30000.000000,29989.380859,10000.000000,0.001000,False,0.835663,0.527238,0.746800,0.839267
300.000000,-4399.180176,100000.000000,0.001000,False,0.819770,0.562108,0.711900,0.829058
1000.000000,784.262939,100000.000000,0.001000,False,0.837846,0.488514,0.765900,0.848324
3000.000000,2913.483398,100000.000000,0.001000,False,0.839110,0.518278,0.757000,0.849785
10000.000000,9913.966797,100000.000000,0.001000,False,0.835758,0.513444,0.755000,0.843772
30000.000000,29916.833984,100000.000000,0.001000,False,0.834752,0.496335,0.759500,0.842248
300.000000,299.955444,100.000000,0.001000,False,0.838274,0.493368,0.762800,0.847642
1000.000000,1000.004700,100.000000,0.001000,False,0.837201,0.487205,0.766300,0.849780
3000.000000,2999.978027,100.000000,0.001000,False,0.843665,0.487016,0.762900,0.851123
10000.000000,9999.861328,100.000000,0.001000,False,0.842676,0.492906,0.765200,0.848261
30000.000000,29999.988281,100.000000,0.001000,False,0.834641,0.497739,0.759600,0.838224
300.000000,299.068970,1000.000000,0.001000,False,0.840080,0.498906,0.762200,0.850563
1000.000000,999.774170,1000.000000,0.001000,False,0.837421,0.506222,0.756400,0.848909
3000.000000,2998.540771,1000.000000,0.001000,False,0.842509,0.496655,0.763700,0.847817
10000.000000,9998.919922,1000.000000,0.001000,False,0.838568,0.505487,0.753100,0.845255
30000.000000,29998.910156,1000.000000,0.001000,False,0.835100,0.519756,0.750400,0.840590
300.000000,293.433411,10000.000000,0.001000,False,0.835595,0.498725,0.763800,0.846931
1000.000000,1005.486877,10000.000000,0.001000,False,0.837170,0.488090,0.764500,0.850247
3000.000000,2995.374756,10000.000000,0.001000,False,0.844383,0.482675,0.770800,0.850196
10000.000000,9988.675781,10000.000000,0.001000,False,0.841174,0.508993,0.759200,0.846048
30000.000000,29991.773438,10000.000000,0.001000,False,0.836642,0.503993,0.755700,0.842923
300.000000,247.704575,100000.000000,0.001000,False,0.837956,0.486883,0.765800,0.850407
1000.000000,1036.907104,100000.000000,0.001000,False,0.835433,0.503920,0.754500,0.847409
3000.000000,2943.144531,100000.000000,0.001000,False,0.841648,0.492772,0.762500,0.849148
10000.000000,9864.261719,100000.000000,0.001000,False,0.843171,0.483824,0.767700,0.848781
30000.000000,29919.701172,100000.000000,0.001000,False,0.836366,0.523298,0.744100,0.839284
300.000000,299.945160,100.000000,0.001000,False,0.838151,0.496452,0.762400,0.844732
1000.000000,999.956665,100.000000,0.001000,False,0.842944,0.486517,0.768300,0.850389
3000.000000,2999.934082,100.000000,0.001000,False,0.841786,0.501129,0.763000,0.849823
10000.000000,9999.982422,100.000000,0.001000,False,0.837664,0.495561,0.761100,0.846252
30000.000000,30000.000000,100.000000,0.001000,False,0.831993,0.496752,0.760500,0.839299
300.000000,299.000732,1000.000000,0.001000,False,0.839158,0.492555,0.764700,0.845881
1000.000000,999.849243,1000.000000,0.001000,False,0.841611,0.500215,0.763300,0.846361
3000.000000,2999.896240,1000.000000,0.001000,False,0.839476,0.484885,0.769900,0.850190
10000.000000,9999.097656,1000.000000,0.001000,False,0.838397,0.504276,0.759900,0.847214
