lam,alpha,mode,run,accuracy
1.0,0.01,Orthogonal,16,0.88125
1.0,0.01,Projection,16,0.871875
1.0,0.01,Unweighted,16,0.8625
1.0,0.01,Weighted,16,0.8609375
1.0,1.0,Multitask,16,0.87265625
1.0,1.0,Orthogonal,16,0.8734375
1.0,1.0,Projection,16,0.8703125
1.0,1.0,Unweighted,16,0.86875
1.0,1.0,Weighted,16,0.878125
10.0,0.01,Orthogonal,16,0.8625
10.0,0.01,Projection,16,0.8609375
10.0,0.01,Unweighted,16,0.8609375
10.0,0.01,Weighted,16,0.865625
10.0,1.0,Multitask,16,0.84296875
10.0,1.0,Orthogonal,16,0.86796875
10.0,1.0,Projection,16,0.84453125
10.0,1.0,Unweighted,16,0.85078125
10.0,1.0,Weighted,16,0.86328125
100.0,0.01,Orthogonal,16,0.83203125
100.0,0.01,Projection,16,0.8609375
100.0,0.01,Unweighted,16,0.871875
100.0,0.01,Weighted,16,0.86640625
100.0,1.0,Multitask,16,0.83046875
100.0,1.0,Orthogonal,16,0.58125
100.0,1.0,Projection,16,0.83828125
100.0,1.0,Unweighted,16,0.834375
100.0,1.0,Weighted,16,0.840625
3.0,0.01,Orthogonal,16,0.8625
3.0,0.01,Projection,16,0.87578125
3.0,0.01,Unweighted,16,0.865625
3.0,0.01,Weighted,16,0.8625
3.0,1.0,Multitask,16,0.8640625
3.0,1.0,Orthogonal,16,0.8609375
3.0,1.0,Projection,16,0.86640625
3.0,1.0,Unweighted,16,0.8578125
3.0,1.0,Weighted,16,0.86328125
30.0,0.01,Orthogonal,16,0.846875
30.0,0.01,Projection,16,0.86484375
30.0,0.01,Unweighted,16,0.8609375
30.0,0.01,Weighted,16,0.85546875
30.0,1.0,Multitask,16,0.8359375
30.0,1.0,Orthogonal,16,0.71484375
30.0,1.0,Projection,16,0.83984375
30.0,1.0,Unweighted,16,0.84296875
30.0,1.0,Weighted,16,0.85390625
0.01,0.01,Orthogonal,17,0.8546875
